,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
p53059,6.905317211450778e-07,9.347971974292245e-09,7.855806690884953e-10,0.0853817726689181,5.400494470906429e-11,0.9141328911007072,7.042659049123506e-10,0.000479796944756677,4.837862073294425e-06
p35011,0.00011712812985836391,0.00023472378224339966,4.471690677771547e-07,0.5370795695368921,1.0657711348976395e-08,0.001864140110136113,1.725473203452947e-05,0.04509455939365078,0.41559216648840563
p35035,2.943047457869905e-05,0.00010682390814801767,1.243928346123682e-07,0.550266175662267,2.9054818618819213e-09,0.003296566979876928,9.159295839786735e-06,0.009755601373469898,0.43653611500750317
p35003,2.1270213183177262e-05,3.5133059776538466e-05,7.27919926926412e-08,0.8378552583491609,1.7747537346551264e-09,0.02904443704644468,2.7563430977209167e-06,0.010584604025023172,0.12245646639656736
p35059,0.00036425714931987785,0.00028194389564953473,1.1601415458639234e-06,0.45582579402536183,2.9193804597399523e-08,0.0007975132503899568,1.622463614409892e-05,0.18493499945693137,0.35777807825085284
p35047,0.00016075519318917963,0.0001875495834813999,5.391430713603442e-07,0.5675144064777078,1.3278543221420194e-08,0.0024086156549305605,1.213872957632825e-05,0.07907012845642268,0.3506458534830776
p35055,0.00019582544782711375,0.00013376391310472916,5.930904110068344e-07,0.7257632302980707,1.5325078423986112e-08,0.004052138447823178,7.92116226072645e-06,0.09361844318757351,0.17622806912785055
p35017,1.2512325775797297e-05,3.2069685145550226e-05,4.7142826364886936e-08,0.8001736150743064,1.1217506903066033e-09,0.02197436193061157,2.7533410254136507e-06,0.005692560915071551,0.1721120784634866
p35007,0.00027861982072420645,0.0001941114148019169,8.565559583977443e-07,0.613637029059201,2.1929660208194448e-08,0.0019987355729590445,1.1292623008316153e-05,0.13702978797590248,0.2468495450477844
p35043,8.490112607768806e-05,8.015814729413305e-05,2.659164947567472e-07,0.7916736741869528,6.7271277627462e-09,0.010407195325214533,5.20620192736182e-06,0.04277874218958041,0.15496985017933054
p35006,3.813059290599957e-05,4.540631132697481e-05,1.2269971167872262e-07,0.835394742969441,3.0612325659820122e-09,0.0230286656224704,3.2045894453116653e-06,0.01936642947896826,0.12212329467449771
p35013,1.7433218530833102e-05,6.406876168567605e-05,7.29231395707622e-08,0.6301965728592485,1.7077791655413076e-09,0.006554197541671831,5.468879905252323e-06,0.006577567546713909,0.35658461656132534
